"gameID","home","away","OT","SO"
1,"Ottawa Senators","Toronto Maple Leafs",1,0
2,"Chicago Blackhawks","St. Louis Blues",0,0
3,"Edmonton Oilers","Calgary Flames",0,0
4,"San Jose Sharks","Los Angeles Kings",0,0
5,"Buffalo Sabres","Montréal Canadiens",0,0
6,"New York Rangers","New York Islanders",0,0
7,"Pittsburgh Penguins","Washington Capitals",1,1
8,"Columbus Blue Jackets","Boston Bruins",0,0
9,"Tampa Bay Lightning","Detroit Red Wings",0,0
10,"Florida Panthers","New Jersey Devils",1,0
11,"St. Louis Blues","Minnesota Wild",0,0
12,"Winnipeg Jets","Carolina Hurricanes",1,0
13,"Dallas Stars","Anaheim Ducks",0,0
14,"Nashville Predators","Chicago Blackhawks",0,0
15,"Calgary Flames","Edmonton Oilers",0,0
16,"Los Angeles Kings","Philadelphia Flyers",0,0
17,"Toronto Maple Leafs","Boston Bruins",0,0
18,"Ottawa Senators","Montréal Canadiens",1,1
19,"Tampa Bay Lightning","New Jersey Devils",0,0
20,"Florida Panthers","Detroit Red Wings",0,0
21,"Pittsburgh Penguins","Anaheim Ducks",0,0
22,"Washington Capitals","New York Islanders",0,0
23,"Columbus Blue Jackets","San Jose Sharks",0,0
24,"Minnesota Wild","Winnipeg Jets",0,0
25,"St. Louis Blues","New York Rangers",0,0
26,"Chicago Blackhawks","Nashville Predators",0,0
27,"Colorado Avalanche","Dallas Stars",0,0
28,"Arizona Coyotes","Philadelphia Flyers",1,0
29,"Vancouver Canucks","Calgary Flames",1,1
30,"New York Islanders","Anaheim Ducks",1,0
31,"Edmonton Oilers","Buffalo Sabres",0,0
32,"Vancouver Canucks","Carolina Hurricanes",1,0
33,"New York Rangers","San Jose Sharks",0,0
34,"Pittsburgh Penguins","Colorado Avalanche",1,0
35,"Detroit Red Wings","Ottawa Senators",0,0
36,"Winnipeg Jets","Boston Bruins",0,0
37,"New Jersey Devils","Anaheim Ducks",0,0
38,"New York Islanders","San Jose Sharks",0,0
39,"Washington Capitals","Colorado Avalanche",0,0
40,"Montréal Canadiens","Pittsburgh Penguins",0,0
41,"Ottawa Senators","Arizona Coyotes",0,0
42,"Tampa Bay Lightning","Florida Panthers",1,1
43,"Nashville Predators","Dallas Stars",0,0
44,"Minnesota Wild","Los Angeles Kings",0,0
45,"Chicago Blackhawks","Philadelphia Flyers",0,0
46,"Calgary Flames","Buffalo Sabres",1,0
47,"Edmonton Oilers","Carolina Hurricanes",0,0
48,"Vancouver Canucks","St. Louis Blues",1,0
49,"New York Rangers","Detroit Red Wings",0,0
50,"Winnipeg Jets","Toronto Maple Leafs",1,0
51,"Boston Bruins","New Jersey Devils",0,0
52,"Philadelphia Flyers","Anaheim Ducks",0,0
53,"Pittsburgh Penguins","San Jose Sharks",0,0
54,"Montréal Canadiens","Arizona Coyotes",0,0
55,"Tampa Bay Lightning","Colorado Avalanche",0,0
56,"Florida Panthers","Washington Capitals",0,0
57,"Minnesota Wild","Toronto Maple Leafs",0,0
58,"Dallas Stars","Los Angeles Kings",1,0
59,"Calgary Flames","Carolina Hurricanes",0,0
60,"Edmonton Oilers","St. Louis Blues",0,0
61,"Vancouver Canucks","Buffalo Sabres",0,0
62,"New York Islanders","Arizona Coyotes",0,0
63,"Columbus Blue Jackets","Chicago Blackhawks",0,0
64,"Detroit Red Wings","Nashville Predators",0,0
65,"Boston Bruins","Montréal Canadiens",0,0
66,"Ottawa Senators","Tampa Bay Lightning",0,0
67,"Detroit Red Wings","San Jose Sharks",0,0
68,"Florida Panthers","Colorado Avalanche",0,0
69,"New Jersey Devils","Minnesota Wild",1,0
70,"Philadelphia Flyers","Carolina Hurricanes",0,0
71,"Washington Capitals","New York Rangers",0,0
72,"Chicago Blackhawks","Toronto Maple Leafs",1,1
73,"Nashville Predators","Pittsburgh Penguins",0,0
74,"Dallas Stars","Columbus Blue Jackets",0,0
75,"Calgary Flames","St. Louis Blues",0,0
76,"Los Angeles Kings","Vancouver Canucks",1,1
77,"Winnipeg Jets","Edmonton Oilers",0,0
78,"New York Islanders","Minnesota Wild",0,0
79,"New York Rangers","Arizona Coyotes",0,0
80,"Anaheim Ducks","Vancouver Canucks",0,0
